,text,labels
3,Partly cloudy throughout the day.,2
9,Clear throughout the day.,2
13,Overcast throughout the day.,2
15,Partly cloudy throughout the day.,2
18,Mostly cloudy throughout the day.,2
19,Overcast throughout the day.,2
21,Partly cloudy throughout the day.,2
26,Partly cloudy throughout the day.,2
30,Clear throughout the day.,2
35,Partly cloudy throughout the day.,2
39,Overcast throughout the day.,2
48,Clear throughout the day.,2
51,Mostly cloudy throughout the day.,2
53,Clear throughout the day.,2
56,Overcast throughout the day.,2
67,Clear throughout the day.,2
68,Overcast throughout the day.,2
70,Overcast throughout the day.,2
71,Overcast throughout the day.,2
73,Partly cloudy throughout the day.,2
74,Mostly cloudy throughout the day.,2
75,Overcast throughout the day.,2
76,Partly cloudy throughout the day.,2
77,Mostly cloudy throughout the day.,2
78,Mostly cloudy throughout the day.,2
84,Mostly cloudy throughout the day.,2
85,Mostly cloudy throughout the day.,2
93,Partly cloudy throughout the day.,2
95,Clear throughout the day.,2
98,Partly cloudy throughout the day.,2
100,Overcast throughout the day.,2
109,Mostly cloudy throughout the day.,2
111,Partly cloudy throughout the day.,2
115,Partly cloudy throughout the day.,2
133,Partly cloudy throughout the day.,2
144,Partly cloudy throughout the day.,2
145,Mostly cloudy throughout the day.,2
148,Overcast throughout the day.,2
149,Clear throughout the day.,2
155,Clear throughout the day.,2
160,Clear throughout the day.,2
165,Partly cloudy throughout the day.,2
171,Clear throughout the day.,2
172,Partly cloudy throughout the day.,2
182,Partly cloudy throughout the day.,2
192,Clear throughout the day.,2
201,Clear throughout the day.,2
207,Overcast throughout the day.,2
208,Partly cloudy throughout the day.,2
215,Mostly cloudy throughout the day.,2
219,Mostly cloudy throughout the day.,2
221,Overcast throughout the day.,2
227,Partly cloudy throughout the day.,2
230,Mostly cloudy throughout the day.,2
234,Partly cloudy throughout the day.,2
235,Clear throughout the day.,2
238,Mostly cloudy throughout the day.,2
239,Mostly cloudy throughout the day.,2
247,Overcast throughout the day.,2
248,Overcast throughout the day.,2
249,Mostly cloudy throughout the day.,2
262,Partly cloudy throughout the day.,2
263,Overcast throughout the day.,2
264,Mostly cloudy throughout the day.,2
265,Mostly cloudy throughout the day.,2
266,Overcast throughout the day.,2
267,Clear throughout the day.,2
270,Overcast throughout the day.,2
274,Clear throughout the day.,2
279,Mostly cloudy throughout the day.,2
295,Mostly cloudy throughout the day.,2
314,Partly cloudy throughout the day.,2
315,Clear throughout the day.,2
322,Mostly cloudy throughout the day.,2
323,Partly cloudy throughout the day.,2
325,Partly cloudy throughout the day.,2
326,Clear throughout the day.,2
328,Overcast throughout the day.,2
330,Mostly cloudy throughout the day.,2
331,Mostly cloudy throughout the day.,2
332,Mostly cloudy throughout the day.,2
336,Partly cloudy throughout the day.,2
337,Clear throughout the day.,2
338,Overcast throughout the day.,2
342,Partly cloudy throughout the day.,2
343,Mostly cloudy throughout the day.,2
348,Mostly cloudy throughout the day.,2
350,Mostly cloudy throughout the day.,2
353,Foggy overnight.,2
354,Mostly cloudy throughout the day.,2
355,Overcast throughout the day.,2
359,Partly cloudy throughout the day.,2
362,Foggy in the afternoon and evening.,2
363,Foggy in the afternoon.,2
364,Mostly cloudy throughout the day.,2
367,Foggy in the afternoon.,2
368,Foggy in the afternoon.,2
369,Mostly cloudy throughout the day.,2
370,Partly cloudy throughout the day.,2
373,Overcast throughout the day.,2
374,Partly cloudy throughout the day.,2
375,Mostly cloudy throughout the day.,2
376,Partly cloudy throughout the day.,2
377,Foggy in the evening.,2
378,Foggy in the evening and overnight.,2
379,Foggy in the morning.,2
382,Partly cloudy throughout the day.,2
383,Mostly cloudy throughout the day.,2
384,Clear throughout the day.,2
388,Mostly cloudy throughout the day.,2
391,Mostly cloudy throughout the day.,2
392,Partly cloudy throughout the day.,2
394,"Foggy until morning, starting again in the evening.",2
395,Foggy starting in the afternoon.,2
403,Partly cloudy throughout the day.,2
404,Partly cloudy throughout the day.,2
405,Overcast throughout the day.,2
407,Overcast throughout the day.,2
409,Foggy in the evening and overnight.,2
415,Mostly cloudy throughout the day.,2
416,Mostly cloudy throughout the day.,2
422,Foggy in the afternoon and evening.,2
424,Foggy overnight.,2
436,Partly cloudy throughout the day.,2
438,Mostly cloudy throughout the day.,2
440,Mostly cloudy throughout the day.,2
441,Foggy overnight.,2
442,Foggy in the morning.,2
443,Overcast throughout the day.,2
444,Possible light rain overnight.,2
470,Partly cloudy throughout the day.,2
485,Humid and partly cloudy throughout the day.,2
517,Partly cloudy throughout the day.,2
518,Clear throughout the day.,2
538,Partly cloudy throughout the day.,2
544,Humid and partly cloudy throughout the day.,2
551,Humid and partly cloudy throughout the day.,2
561,Partly cloudy throughout the day.,2
564,Partly cloudy throughout the day.,2
565,Mostly cloudy throughout the day.,2
586,Partly cloudy throughout the day.,2
589,Partly cloudy throughout the day.,2
596,Mostly cloudy throughout the day.,2
599,Mostly cloudy throughout the day.,2
625,Mostly cloudy throughout the day.,2
626,Mostly cloudy throughout the day.,2
628,Mostly cloudy throughout the day.,2
629,Mostly cloudy throughout the day.,2
630,Mostly cloudy throughout the day.,2
632,Partly cloudy throughout the day.,2
633,Partly cloudy throughout the day.,2
634,Partly cloudy throughout the day.,2
641,Partly cloudy throughout the day.,2
642,Mostly cloudy throughout the day.,2
656,Partly cloudy throughout the day.,2
662,Mostly cloudy throughout the day.,2
667,Clear throughout the day.,2
670,Mostly cloudy throughout the day.,2
671,Mostly cloudy throughout the day.,2
672,Foggy in the afternoon.,2
676,Mostly cloudy throughout the day.,2
679,Overcast throughout the day.,2
681,Partly cloudy throughout the day.,2
682,Clear throughout the day.,2
683,Foggy in the evening and overnight.,2
686,Mostly cloudy throughout the day.,2
688,Clear throughout the day.,2
689,Partly cloudy throughout the day.,2
693,Partly cloudy throughout the day.,2
694,Foggy starting in the afternoon.,2
699,Partly cloudy throughout the day.,2
700,Partly cloudy throughout the day.,2
702,Foggy overnight.,2
704,Mostly cloudy throughout the day.,2
708,Foggy in the morning.,2
714,Foggy throughout the day.,2
716,Foggy in the morning.,2
717,Overcast throughout the day.,2
718,Foggy overnight.,2
721,Mostly cloudy throughout the day.,2
724,Foggy in the evening and overnight.,2
730,Mostly cloudy throughout the day.,2
734,Partly cloudy throughout the day.,2
736,Mostly cloudy throughout the day.,2
737,Overcast throughout the day.,2
738,Overcast throughout the day.,2
741,Partly cloudy throughout the day.,2
742,Foggy overnight.,2
743,Partly cloudy throughout the day.,2
744,Foggy overnight.,2
753,Mostly cloudy throughout the day.,2
755,Mostly cloudy throughout the day.,2
757,Mostly cloudy throughout the day.,2
758,Overcast throughout the day.,2
770,Clear throughout the day.,2
779,Partly cloudy throughout the day.,2
784,Humid and mostly cloudy throughout the day.,2
786,Humid and partly cloudy throughout the day.,2
