text,label
Partly cloudy throughout the day.,2
Overcast throughout the day.,2
Partly cloudy throughout the day.,2
Mostly cloudy throughout the day.,2
Overcast throughout the day.,2
Partly cloudy throughout the day.,2
Partly cloudy throughout the day.,2
Partly cloudy throughout the day.,2
Overcast throughout the day.,2
Mostly cloudy throughout the day.,2
Overcast throughout the day.,2
Overcast throughout the day.,2
Overcast throughout the day.,2
Overcast throughout the day.,2
Partly cloudy throughout the day.,2
Mostly cloudy throughout the day.,2
Overcast throughout the day.,2
Partly cloudy throughout the day.,2
Mostly cloudy throughout the day.,2
Mostly cloudy throughout the day.,2
Mostly cloudy throughout the day.,2
Mostly cloudy throughout the day.,2
Partly cloudy throughout the day.,2
Partly cloudy throughout the day.,2
Overcast throughout the day.,2
Mostly cloudy throughout the day.,2
Partly cloudy throughout the day.,2
Partly cloudy throughout the day.,2
Partly cloudy throughout the day.,2
Partly cloudy throughout the day.,2
Mostly cloudy throughout the day.,2
Overcast throughout the day.,2
Partly cloudy throughout the day.,2
Partly cloudy throughout the day.,2
Partly cloudy throughout the day.,2
Overcast throughout the day.,2
Partly cloudy throughout the day.,2
Mostly cloudy throughout the day.,2
Mostly cloudy throughout the day.,2
Overcast throughout the day.,2
Partly cloudy throughout the day.,2
Mostly cloudy throughout the day.,2
Partly cloudy throughout the day.,2
Mostly cloudy throughout the day.,2
Mostly cloudy throughout the day.,2
Overcast throughout the day.,2
Overcast throughout the day.,2
Mostly cloudy throughout the day.,2
Partly cloudy throughout the day.,2
Overcast throughout the day.,2
Mostly cloudy throughout the day.,2
Mostly cloudy throughout the day.,2
Overcast throughout the day.,2
Overcast throughout the day.,2
Mostly cloudy throughout the day.,2
Mostly cloudy throughout the day.,2
Partly cloudy throughout the day.,2
Mostly cloudy throughout the day.,2
Partly cloudy throughout the day.,2
Partly cloudy throughout the day.,2
Overcast throughout the day.,2
Mostly cloudy throughout the day.,2
Mostly cloudy throughout the day.,2
Mostly cloudy throughout the day.,2
Partly cloudy throughout the day.,2
Overcast throughout the day.,2
Partly cloudy throughout the day.,2
Mostly cloudy throughout the day.,2
Mostly cloudy throughout the day.,2
Mostly cloudy throughout the day.,2
Foggy overnight.,2
